Focus,variance_laplacian,modified_laplacian,tenengrad,normalized_variance,brenner_gradient,threshold_count,spectral_energy,wavelet_measure,fast_entropy
21.0,0.129550,0.041375,3.719000,0.160795,3350.000000,0.000000,132224608.943936,117008.000000,0.044266
22.0,0.243475,0.090775,5.657300,0.248292,5637.000000,0.000000,240034629.352012,223270.000000,0.045032
23.0,0.131525,0.042875,4.891900,0.185235,4120.000000,0.000000,215453902.081887,110889.000000,0.044841
24.0,0.132225,0.043400,5.614300,0.203444,4575.000000,0.000000,263918301.180544,121083.000000,0.047202
25.0,0.139350,0.046650,6.402200,0.218440,5142.000000,0.000000,325436777.697526,126678.000000,0.047824
26.0,0.347600,0.138675,9.764700,0.316236,9232.000000,0.000000,520540721.774755,340498.000000,0.048924
27.0,0.354950,0.143250,10.753000,0.334268,9917.000000,0.000000,597838621.152727,347380.000000,0.048914
28.0,0.150950,0.052425,9.179800,0.265305,7012.000000,0.000000,551995775.527931,124637.000000,0.048919
29.0,0.158425,0.054850,10.166200,0.279070,7692.000000,0.000000,639239200.483776,127203.000000,0.048021
30.0,0.160600,0.056100,11.301100,0.295942,8447.000000,0.000000,733543706.967539,134122.000000,0.048227
31.0,0.170700,0.060250,12.343600,0.310309,9193.000000,0.000000,821805831.963751,142280.000000,0.048369
32.0,0.173950,0.061975,13.484900,0.323579,9953.000000,0.000000,919789572.960907,131577.000000,0.049124
33.0,0.183675,0.067375,14.621600,0.336840,10775.000000,0.000000,1014443688.110428,142317.000000,0.048231
34.0,0.428325,0.173750,18.629700,0.446667,15576.000000,0.000000,1257007251.075110,341161.000000,0.049064
35.0,0.439600,0.178475,19.560400,0.458065,16271.000000,0.000000,1333935170.137386,343716.000000,0.048853
36.0,0.440400,0.179325,20.493500,0.469567,16888.000000,0.000000,1413654567.713792,345475.000000,0.048300
37.0,0.440700,0.180675,21.475000,0.477447,17529.000000,0.000000,1505719212.391390,334719.000000,0.046838
38.0,0.454200,0.186025,22.299800,0.491176,18176.000000,0.000000,1566613788.352457,345461.000000,0.047339
39.0,0.221625,0.084450,20.161200,0.399960,14658.000000,0.000000,1473401354.152956,149517.000000,0.046708
40.0,0.229475,0.087925,20.639900,0.405859,15030.000000,0.000000,1512641643.035227,150290.000000,0.046498
41.0,0.229725,0.089400,21.215900,0.411734,15418.000000,0.000000,1557216921.035736,145197.000000,0.046408
42.0,0.231275,0.090350,21.646200,0.414342,15712.000000,0.000000,1596783316.510947,145443.000000,0.045772
43.0,0.232775,0.091100,21.991200,0.420758,15941.000000,0.000000,1621708176.091663,146731.000000,0.046041
44.0,0.240775,0.093575,22.222100,0.422926,16152.000000,0.000000,1637332110.024436,151560.000000,0.046281
